GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,AGE_YEARS,YEARS_EMPLOYED,Family_Members,label
F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,1,0
F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,5.0,4,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.0,0.0,1,0
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,2,1
M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,39.0,3.0,1,0
F,N,Y,0,83250.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,55.0,0.0,2,0
M,N,N,0,360000.0,Commercial associate,Higher education,Married,House / apartment,56.0,5.0,2,0
M,Y,N,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,38.0,18.0,4,0
M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,63.0,0.0,2,0
M,Y,N,1,202500.0,Commercial associate,Incomplete higher,Married,House / apartment,30.0,10.0,3,0
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,55.0,3.0,2,0
F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56.0,26.0,2,0
F,Y,N,1,108000.0,Commercial associate,Higher education,Married,House / apartment,44.0,1.0,3,0
M,N,Y,1,180000.0,Working,Higher education,Married,With parents,43.0,5.0,3,0
F,Y,Y,0,144000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.0,0.0,2,0
F,N,N,0,180000.0,State servant,Incomplete higher,Married,House / apartment,28.0,8.0,2,0
F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,56.0,0.0,2,0
F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,26.0,6.0,3,0
F,Y,Y,1,144000.0,Working,Higher education,Married,House / apartment,35.0,8.0,3,0
F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,2,1
F,N,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,0.0,4,0
F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.0,9.0,2,0
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,43.0,0.0,2,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,26.0,3.0,1,0
F,N,Y,0,139500.0,Working,Secondary / secondary special,Married,House / apartment,51.0,0.0,2,0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,12.0,3,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,45.0,23.0,2,0
F,N,N,2,135000.0,Working,Secondary / secondary special,Married,With parents,31.0,5.0,4,0
M,N,Y,1,292500.0,State servant,Higher education,Married,House / apartment,46.0,10.0,3,0
M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,32.0,2.0,4,0
F,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,34.0,1.0,4,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,37.0,3.0,2,0
M,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,2,0
F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,39.0,4.0,3,0
F,Y,Y,0,270000.0,State servant,Higher education,Married,House / apartment,45.0,23.0,2,0
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,13.0,3,0
F,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,2,1
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,23.0,2,0
M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,28.0,4.0,1,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,7.0,2,0
F,N,Y,2,72000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,15.0,4,0
M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,27.0,5.0,2,0
M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,With parents,39.0,2.0,4,0
M,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,4,0
M,N,N,1,225000.0,Working,Higher education,Married,House / apartment,38.0,17.0,3,0
F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,34.0,10.0,2,0
F,N,Y,0,165600.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.0,0.0,1,0
F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,44.0,7.0,3,0
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,62.0,35.0,2,0
M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,35.0,6.0,3,0
M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36.0,7.0,4,0
F,N,N,0,135000.0,Pensioner,Higher education,Married,Municipal apartment,54.0,0.0,2,0
F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26.0,8.0,3,1
M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,2,1
M,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,42.0,8.0,2,0
F,N,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,61.0,1.0,2,0
F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,52.0,2.0,1,0
F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,2,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,13.0,2,0
F,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,With parents,36.0,3.0,2,0
F,N,Y,2,67500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,2.0,4,0
M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,2,1
F,N,Y,0,126000.0,Working,Higher education,Married,House / apartment,28.0,1.0,2,0
F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,59.0,0.0,1,0
F,Y,N,0,108000.0,Working,Secondary / secondary special,Married,With parents,34.0,9.0,2,0
M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,39.0,7.0,2,0
F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,29.0,4.0,3,0
F,N,N,1,76500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,3,0
F,N,Y,1,162000.0,State servant,Higher education,Civil marriage,House / apartment,41.0,0.0,3,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,34.0,1.0,4,0
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,2,0
F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.0,8.0,2,0
M,Y,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,1.0,3,0
M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,5.0,2,0
M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.0,0.0,2,1
M,N,N,0,225000.0,Commercial associate,Higher education,Married,With parents,36.0,14.0,2,0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,54.0,10.0,2,0
M,Y,N,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,9.0,2,0
F,N,Y,2,103500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,18.0,4,0
F,Y,Y,2,180000.0,Commercial associate,Higher education,Married,House / apartment,32.0,8.0,4,0
F,Y,Y,0,45900.0,Pensioner,Secondary / secondary special,Widow,House / apartment,56.0,0.0,1,0
F,Y,N,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,1.0,2,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,2,1
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,2,0
F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,3.0,4,0
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.0,1.0,2,0
F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,48.0,22.0,3,0
F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.0,2,1
F,N,N,0,112500.0,Working,Higher education,Single / not married,With parents,30.0,0.0,1,0
M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,41.0,21.0,2,1
M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,2,1
M,Y,N,0,328500.0,Working,Higher education,Married,House / apartment,41.0,7.0,2,0
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,56.0,0.0,1,0
F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,34.0,5.0,2,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,2,1
M,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,25.0,3.0,1,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66.0,0.0,1,0
M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,33.0,5.0,2,0
M,Y,N,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,16.0,4,0
F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,28.0,1.0,2,0
F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,9.0,2,0
M,N,Y,2,360000.0,State servant,Higher education,Married,House / apartment,44.0,15.0,4,0
M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1.0,1,1
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,2,0
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,2,1
F,N,N,0,94500.0,Working,Higher education,Married,House / apartment,46.0,1.0,2,0
F,Y,N,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,32.0,1.0,2,0
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,57.0,0.0,1,0
F,N,Y,0,216000.0,Pensioner,Higher education,Single / not married,House / apartment,56.0,0.0,1,0
M,Y,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,36.0,4.0,2,0
F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,14.0,4,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,64.0,13.0,2,0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,51.0,33.0,2,0
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,2,0
F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,40.0,13.0,2,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,29.0,2,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,With parents,39.0,0.0,2,0
F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,29.0,1.0,4,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,2,1
F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,30.0,9.0,2,1
F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,2,0
M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,45.0,0.0,2,0
F,N,Y,0,630000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,60.0,0.0,1,0
F,Y,Y,1,157500.0,State servant,Secondary / secondary special,Married,House / apartment,38.0,9.0,3,0
M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,5.0,2,0
F,N,Y,0,189000.0,Pensioner,Higher education,Separated,House / apartment,62.0,0.0,1,0
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,3,1
M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,3.0,2,1
F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,2.0,3,0
F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,34.0,4.0,2,1
F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,54.0,6.0,1,0
F,N,Y,2,54000.0,Working,Higher education,Married,House / apartment,31.0,12.0,4,0
M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,1.0,2,0
M,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,43.0,0.0,2,0
F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.0,0.0,2,0
F,N,Y,0,94500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.0,0.0,1,0
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,2,1
F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,41.0,5.0,3,0
F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,2,0
M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,27.0,8.0,2,0
M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,30.0,0.0,2,0
F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,43.0,22.0,3,0
F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,4.0,4,0
F,N,Y,1,126000.0,Working,Higher education,Married,House / apartment,35.0,4.0,3,0
F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,29.0,5.0,2,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.0,1.0,1,1
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,59.0,0.0,2,1
M,Y,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,56.0,0.0,2,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,30.0,1.0,2,0
F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,7.0,2,0
M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,28.0,6.0,2,0
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,19.0,2,1
F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,2.0,2,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,18.0,1,0
F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,38.0,0.0,4,0
M,Y,Y,0,315000.0,Working,Incomplete higher,Married,House / apartment,43.0,4.0,2,0
M,Y,Y,0,337500.0,Working,Higher education,Married,House / apartment,65.0,21.0,2,0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,2,0
F,N,N,0,306000.0,Commercial associate,Higher education,Married,House / apartment,29.0,4.0,2,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,57.0,6.0,2,0
F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,2.0,2,0
F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,1,0
F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,32.0,1.0,2,0
M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,0.0,2,1
F,Y,Y,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,40.0,17.0,4,0
M,Y,N,1,315000.0,State servant,Secondary / secondary special,Married,House / apartment,36.0,10.0,3,0
F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35.0,1.0,2,0
F,N,N,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,46.0,0.0,2,0
M,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,10.0,2,0
F,N,Y,0,135000.0,Working,Higher education,Single / not married,House / apartment,25.0,3.0,1,0
F,Y,Y,0,243000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,6.0,1,0
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,4.0,1,1
F,N,N,0,135000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,48.0,1.0,1,0
M,N,N,0,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,23.0,1.0,1,0
F,N,N,2,130500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,10.0,4,0
M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57.0,7.0,2,0
M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,58.0,2.0,2,1
F,N,Y,0,270000.0,Commercial associate,Incomplete higher,Married,House / apartment,41.0,9.0,2,0
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57.0,4.0,2,0
M,Y,Y,0,418500.0,Working,Higher education,Married,House / apartment,52.0,0.0,2,0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,2.0,2,0
M,Y,Y,0,180000.0,State servant,Higher education,Single / not married,House / apartment,22.0,2.0,1,0
F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29.0,2.0,1,0
F,N,Y,0,216000.0,Working,Secondary / secondary special,Single / not married,House / apartment,49.0,8.0,1,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.0,0.0,1,0
M,N,Y,1,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,36.0,7.0,3,0
M,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,Rented apartment,29.0,6.0,2,0
F,Y,Y,0,391500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,20.0,2,0
F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,House / apartment,54.0,23.0,1,0
F,N,N,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,46.0,4.0,2,0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,1,0
M,Y,N,1,495000.0,Working,Secondary / secondary special,Married,House / apartment,28.0,1.0,3,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,2,1
F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,57.0,6.0,2,0
M,N,Y,0,114750.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58.0,0.0,1,0
F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,2,0
F,N,N,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,3.0,3,0
F,N,N,0,450000.0,Working,Higher education,Married,House / apartment,30.0,9.0,2,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,2,1
F,N,N,1,40500.0,State servant,Secondary / secondary special,Married,Rented apartment,36.0,5.0,3,0
F,N,N,0,171000.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,2,0
F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,47.0,2.0,3,0
M,N,N,0,180000.0,Working,Incomplete higher,Civil marriage,With parents,21.0,1.0,2,0
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,6.0,2,0
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,2,1
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,With parents,34.0,2.0,2,0
M,N,N,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,39.0,0.0,2,0
F,Y,Y,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,28.0,2,0
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.0,4.0,1,0
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,59.0,2.0,2,0
M,Y,N,1,247500.0,Working,Higher education,Married,House / apartment,25.0,1.0,3,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,58.0,7.0,1,0
F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,58.0,3.0,2,0
M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35.0,7.0,3,1
M,Y,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,39.0,11.0,3,0
F,N,Y,0,153000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,60.0,0.0,1,0
F,Y,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,54.0,16.0,1,0
F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,34.0,0.0,3,0
F,N,N,0,99000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,45.0,1.0,1,0
M,Y,N,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,41.0,19.0,2,0
F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,39.0,4.0,2,0
F,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,33.0,1.0,3,0
F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,38.0,3.0,3,0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,56.0,15.0,3,0
M,Y,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,61.0,6.0,2,0
F,N,Y,0,166500.0,Commercial associate,Higher education,Married,House / apartment,33.0,6.0,2,0
M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,27.0,5.0,2,0
M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,49.0,3.0,2,1
F,N,Y,0,243000.0,Commercial associate,Secondary / secondary special,Married,With parents,47.0,9.0,2,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,14.0,2,0
F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,1,0
F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,32.0,2.0,4,0
M,N,Y,0,90900.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,2,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,52.0,4.0,2,0
M,Y,Y,0,144000.0,Commercial associate,Higher education,Married,House / apartment,53.0,6.0,2,0
M,Y,N,0,292500.0,Working,Secondary / secondary special,Single / not married,House / apartment,38.0,4.0,1,0
M,Y,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,32.0,12.0,3,0
M,N,Y,1,198000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,26.0,0.0,2,0
F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,56.0,7.0,2,1
M,Y,N,0,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,34.0,9.0,1,0
F,Y,N,0,360000.0,Working,Higher education,Married,House / apartment,35.0,6.0,2,0
M,N,Y,0,162000.0,Pensioner,Higher education,Married,House / apartment,64.0,0.0,2,0
F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,2,0
M,Y,Y,0,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39.0,3.0,1,0
F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.0,15.0,2,0
M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,4,1
M,Y,N,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,48.0,6.0,2,0
F,N,Y,0,112500.0,Working,Incomplete higher,Civil marriage,House / apartment,25.0,5.0,2,0
M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36.0,7.0,4,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,5.0,2,0
F,N,N,1,112500.0,Commercial associate,Higher education,Married,House / apartment,44.0,7.0,3,0
F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,24.0,1.0,2,0
M,N,Y,0,85500.0,State servant,Secondary / secondary special,Separated,Co-op apartment,45.0,24.0,1,0
F,N,Y,0,58500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,68.0,0.0,1,0
F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,52.0,4.0,1,0
F,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,36.0,2.0,2,0
M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,43.0,10.0,2,0
F,N,Y,0,67500.0,Pensioner,Higher education,Single / not married,Municipal apartment,65.0,0.0,1,0
M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,27.0,5.0,1,0
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,4.0,3,0
F,Y,Y,1,112500.0,Working,Higher education,Married,House / apartment,25.0,1.0,3,0
M,Y,Y,0,337500.0,Working,Higher education,Married,House / apartment,50.0,19.0,2,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,2,1
M,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,14.0,2,0
F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,35.0,14.0,2,0
F,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,31.0,7.0,3,0
M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,2.0,1,1
M,N,N,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,18.0,2,0
M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,34.0,1.0,3,0
F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.0,0.0,1,0
M,N,Y,0,85500.0,State servant,Secondary / secondary special,Separated,Co-op apartment,45.0,24.0,1,0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,47.0,0.0,2,0
M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,6.0,3,0
F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,4,0
F,N,N,1,135000.0,Working,Higher education,Married,House / apartment,29.0,4.0,3,0
F,N,Y,2,315000.0,Commercial associate,Higher education,Married,House / apartment,30.0,0.0,4,0
F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,11.0,3,1
M,Y,Y,0,450000.0,Working,Secondary / secondary special,Single / not married,House / apartment,44.0,10.0,1,0
F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,38.0,10.0,2,0
F,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,59.0,2.0,2,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,54.0,12.0,2,0
F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,45.0,8.0,2,0
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,2,1
M,Y,Y,0,292500.0,Working,Secondary / secondary special,Married,Rented apartment,47.0,2.0,2,0
M,N,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,28.0,5.0,1,0
